Miner ID,Total IMC,Computing Power,Blocks Mined
Miner1,2.91,318,0
Miner2,4.18,457,0
Miner3,2.43,266,0
Miner4,1.22,133,0
Miner5,4.55,497,0
Miner6,2.99,327,0
Miner7,2.67,292,0
Miner8,3.91,428,0
Miner9,1.51,165,0
Miner10,4.49,491,0
Miner11,1.20,131,0
Miner12,3.13,342,0
Miner13,2.51,274,0
Miner14,2.16,236,0
Miner15,3.85,421,0
Miner16,3.98,435,0
Miner17,1.34,147,0
Miner18,3.03,331,0
Miner19,2.96,324,0
Miner20,2.56,280,0
Miner21,13.43,156,0
Miner22,1.18,129,0
Miner23,2.07,226,0
Miner24,4.09,447,0
Miner25,4.45,486,0
Miner26,1.61,176,0
Miner27,3.64,398,0
Miner28,2.62,286,0
Miner29,1.81,198,0
Miner30,2.22,243,0
Miner31,4.29,469,0
Miner32,4.54,496,0
Miner33,4.40,481,0
Miner34,3.96,433,0
Miner35,3.70,404,0
Miner36,4.55,497,0
Miner37,4.13,452,0
Miner38,2.39,261,0
Miner39,1.74,190,0
Miner40,1.29,141,0
Miner41,3.83,419,0
Miner42,2.81,307,0
Miner43,3.82,418,0
Miner44,4.14,453,0
Miner45,2.71,296,0
Miner46,1.34,147,0
Miner47,1.49,163,0
Miner48,2.26,247,0
Miner49,1.77,194,0
Miner50,2.60,284,0
Miner51,13.92,210,0
Miner52,16.28,468,0
Miner53,3.42,374,0
Miner54,0.91,100,0
Miner55,2.14,234,0
Miner56,3.72,407,0
Miner57,1.73,189,0
Miner58,3.26,356,0
Miner59,3.48,381,0
Miner60,1.59,174,0
Miner61,3.16,345,0
Miner62,13.85,202,0
Miner63,15.51,384,0
Miner64,3.91,428,0
Miner65,2.38,260,0
Miner66,2.22,243,0
Miner67,15.33,364,0
Miner68,2.30,252,0
Miner69,1.91,209,0
Miner70,2.49,272,0
Miner71,2.62,286,0
Miner72,2.19,239,0
Miner73,4.42,483,0
Miner74,0.92,101,0
Miner75,0.91,100,0
Miner76,3.64,398,0
Miner77,1.56,171,0
Miner78,0.91,100,0
Miner79,2.86,313,0
Miner80,4.56,499,0
Miner81,3.28,359,0
Miner82,4.35,476,0
Miner83,3.48,380,0
Miner84,4.51,493,0
Miner85,14.62,286,0
Miner86,1.93,211,0
Miner87,1.10,120,0
Miner88,1.48,162,0
Miner89,3.16,345,0
Miner90,1.65,180,0
Miner91,4.19,458,0
Miner92,2.77,303,0
Miner93,2.71,296,0
Miner94,4.09,447,0
Miner95,3.20,350,0
Miner96,1.87,204,0
Miner97,16.08,446,0
Miner98,15.38,370,0
Miner99,1.78,195,0
Miner100,2.74,300,0
Miner101,2.62,287,0
Miner102,3.77,412,0
Miner103,1.49,163,0
Miner104,2.62,287,0
Miner105,3.99,436,0
Miner106,3.44,376,0
Miner107,3.11,340,0
Miner108,2.07,226,0
Miner109,3.04,332,0
Miner110,2.30,252,0
Miner111,2.70,295,0
Miner112,3.92,429,0
Miner113,3.75,410,0
Miner114,3.79,414,0
Miner115,15.61,395,0
Miner116,1.73,189,0
Miner117,2.25,246,0
Miner118,2.76,302,0
Miner119,2.93,320,0
Miner120,2.04,223,0
Miner121,1.91,209,0
Miner122,1.64,179,0
Miner123,15.85,421,0
Miner124,4.10,448,0
Miner125,3.79,414,0
Miner126,1.02,111,0
Miner127,4.04,442,0
Miner128,3.26,356,0
Miner129,1.88,206,0
Miner130,3.80,415,0
Miner131,1.39,152,0
Miner132,2.41,263,0
Miner133,1.76,192,0
Miner134,2.51,274,0
Miner135,4.19,458,0
Miner136,4.52,494,0
Miner137,3.61,395,0
Miner138,15.33,364,0
Miner139,2.51,274,0
Miner140,1.48,162,0
Miner141,2.72,297,0
Miner142,2.96,324,0
Miner143,1.22,133,0
Miner144,2.51,274,0
Miner145,4.43,484,0
Miner146,4.02,440,0
Miner147,1.26,138,0
Miner148,1.18,129,0
Miner149,4.00,437,0
Miner150,4.37,478,0
Miner151,4.05,443,0
Miner152,3.70,404,0
Miner153,2.00,219,0
Miner154,1.39,152,0
Miner155,3.93,430,0
Miner156,1.30,142,0
Miner157,1.30,142,0
Miner158,4.21,460,0
Miner159,2.72,297,0
Miner160,1.78,195,0
Miner161,15.73,408,0
Miner162,1.52,166,0
Miner163,2.79,305,0
Miner164,4.40,481,0
Miner165,3.58,391,0
Miner166,4.20,459,0
Miner167,2.17,237,0
Miner168,2.66,291,0
Miner169,3.27,357,0
Miner170,1.77,193,0
Miner171,3.37,368,0
Miner172,15.01,329,0
Miner173,4.03,441,0
Miner174,1.76,192,0
Miner175,1.87,204,0
Miner176,1.72,188,0
Miner177,1.03,113,0
Miner178,4.31,471,0
Miner179,3.65,399,0
Miner180,1.86,203,0
Miner181,1.02,112,0
Miner182,3.08,337,0
Miner183,1.04,114,0
Miner184,2.15,235,0
Miner185,1.51,165,0
Miner186,3.06,335,0
Miner187,1.54,168,0
Miner188,1.31,143,0
Miner189,2.61,285,0
Miner190,3.36,367,0
Miner191,2.22,243,0
Miner192,3.43,375,0
Miner193,4.26,466,0
Miner194,1.67,183,0
Miner195,1.22,133,0
Miner196,1.20,131,0
Miner197,4.39,480,0
Miner198,4.02,440,0
Miner199,4.27,467,0
Miner200,3.14,343,0
Miner201,1.49,163,0
Miner202,2.82,308,0
Miner203,3.07,336,0
Miner204,1.12,122,0
Miner205,3.53,386,0
Miner206,15.61,395,0
Miner207,2.92,319,0
Miner208,0.97,106,0
Miner209,1.70,186,0
Miner210,2.09,228,0
Miner211,1.88,206,0
Miner212,1.59,174,0
Miner213,2.24,245,0
Miner214,3.11,340,0
Miner215,2.69,294,0
Miner216,3.11,340,0
Miner217,0.91,100,0
Miner218,2.09,228,0
Miner219,2.68,293,0
Miner220,1.40,153,0
Miner221,16.48,490,0
Miner222,4.28,468,0
Miner223,2.28,249,0
Miner224,1.95,213,0
Miner225,1.88,206,0
Miner226,4.11,449,0
Miner227,15.03,331,0
Miner228,3.73,408,0
Miner229,4.35,476,0
Miner230,2.62,286,0
Miner231,4.11,449,0
Miner232,15.53,386,0
Miner233,2.69,294,0
Miner234,1.55,170,0
Miner235,1.03,113,0
Miner236,4.00,437,0
Miner237,2.86,313,0
Miner238,15.56,389,0
Miner239,3.65,399,0
Miner240,1.27,139,0
Miner241,16.36,477,0
Miner242,2.77,303,0
Miner243,4.05,443,0
Miner244,3.85,421,0
Miner245,3.71,406,0
Miner246,1.89,207,0
Miner247,1.43,156,0
Miner248,2.82,308,0
Miner249,2.88,315,0
Miner250,2.04,223,0
Miner251,1.22,133,0
Miner252,3.46,378,0
Miner253,3.26,356,0
Miner254,3.75,410,0
Miner255,2.20,241,0
Miner256,2.36,258,0
Miner257,3.15,344,0
Miner258,2.72,297,0
Miner259,2.30,251,0
Miner260,2.02,221,0
Miner261,3.33,364,0
Miner262,2.71,296,0
Miner263,2.83,309,0
Miner264,1.64,179,0
Miner265,4.22,461,0
Miner266,4.14,453,0
Miner267,3.20,350,0
Miner268,1.02,112,0
Miner269,4.08,446,0
Miner270,13.41,154,0
Miner271,1.68,184,0
Miner272,4.41,482,0
Miner273,1.71,187,0
Miner274,3.39,371,0
Miner275,3.29,360,0
Miner276,3.46,378,0
Miner277,15.29,360,0
Miner278,2.70,295,0
Miner279,4.23,462,0
Miner280,1.19,130,0
Miner281,3.98,435,0
Miner282,2.91,318,0
Miner283,2.94,321,0
Miner284,3.98,435,0
Miner285,3.62,396,0
Miner286,1.34,146,0
Miner287,1.57,172,0
Miner288,3.09,338,0
Miner289,1.97,215,0
Miner290,1.88,206,0
Miner291,3.24,354,0
Miner292,3.36,367,0
Miner293,0.97,106,0
Miner294,2.86,313,0
Miner295,1.89,207,0
Miner296,1.70,186,0
Miner297,13.25,137,0
Miner298,1.46,160,0
Miner299,2.86,313,0
Miner300,3.16,346,0
Miner301,1.23,135,0
Miner302,2.10,230,0
Miner303,3.52,385,0
Miner304,2.88,315,0
Miner305,2.04,223,0
Miner306,2.98,326,0
Miner307,1.19,130,0
Miner308,4.38,479,0
Miner309,16.47,489,0
Miner310,2.86,313,0
Miner311,2.55,279,0
Miner312,3.94,431,0
Miner313,2.53,277,0
Miner314,3.46,378,0
Miner315,1.17,128,0
Miner316,1.27,139,0
Miner317,3.68,402,0
Miner318,14.63,288,0
Miner319,1.06,116,0
Miner320,1.06,116,0
Miner321,3.76,411,0
Miner322,3.36,367,0
Miner323,1.82,199,0
Miner324,2.89,316,0
Miner325,1.96,214,0
Miner326,4.50,492,0
Miner327,1.79,196,0
Miner328,1.52,166,0
Miner329,13.98,216,0
Miner330,2.18,238,0
Miner331,1.58,173,0
Miner332,3.36,367,0
Miner333,3.92,429,0
Miner334,3.72,407,0
Miner335,1.45,159,0
Miner336,1.70,186,0
Miner337,2.77,303,0
Miner338,3.17,347,0
Miner339,2.40,262,0
Miner340,1.78,195,0
